#: table_doi: 10.17182/hepdata.77265.v2/t1
#: name: Table 1
#: description: The number of events as a function of the dijet invariant mass, compared to background prediction from fit and corresponding uncertainties, in the region defined by |y*|<0.6
#: data_file: HEPData_Resonant.yaml
#: keyword reactions: P P --> jj + X
#: keyword cmenergies: 13000.0
#: keyword phrases: Dijet Spectrum | Dijet Search | Resonance Search
#: RE,,,P P --> jj + X
#: SQRT(S) [GEV],,,13000
'm_{jj} [TEV]','m_{jj} [TEV] LOW','m_{jj} [TEV] HIGH','Data [ Events/Bin ]'
5.124499999999999,5.074,5.175,38.2226766963,-0.0610627031664,-0.0610627031664,1.17508673975,-1.17508673975
5.226,5.175,5.277,31.1585276801,0.057832673047,0.057832673047,1.0739657797,-1.0739657797
5.329000000000001,5.277,5.381,25.5147548757,0.0488991999609,0.0488991999609,0.97380481536,-0.97380481536
5.434,5.381,5.487,21.0847597769,0.0376661596659,0.0376661596659,0.887114574929,-0.887114574929
5.541,5.487,5.595,17.3417392297,0.0242784638777,0.0242784638777,0.79274572423,-0.79274572423
5.65,5.595,5.705,14.2935931833,-0.00233925162175,-0.00233925162175,0.708943075816,-0.708943075816
5.761,5.705,5.817,11.5806439289,0.0154902190719,0.0154902190719,0.629091254648,-0.629091254648
5.8740000000000006,5.817,5.931,9.34133050032,0.0294151104703,0.0294151104703,0.553442966926,-0.553442966926
5.989,5.931,6.047,7.50102853988,0.038211617585,0.038211617585,0.483756407316,-0.483756407316
6.106,6.047,6.165,5.99616499385,0.043314537119,0.043314537119,0.420083304464,-0.420083304464
6.225,6.165,6.285,4.77063968398,0.0457296369542,0.0457296369542,0.36243214493,-0.36243214493
6.346,6.285,6.407,3.77701504272,0.046367376656,0.046367376656,0.310303991348,-0.310303991348
6.468999999999999,6.407,6.531,2.97504048965,0.0457395899828,0.0457395899828,0.265830169852,-0.265830169852
6.5945,6.531,6.658,2.34698612703,0.0445665212013,0.0445665212013,0.224013579952,-0.224013579952
6.7225,6.658,6.787,1.82443071004,0.0422226848959,0.0422226848959,0.187341318467,-0.187341318467
6.8525,6.787,6.918,1.40987876514,0.0395628221548,0.0395628221548,0.15649259417,-0.15649259417
6.984999999999999,6.918,7.052,1.08982353668,0.0368459756889,0.0368459756889,0.128569085586,-0.128569085586
7.119999999999999,7.052,7.188,0.829660872997,0.0336582129099,0.0336582129099,0.104748127987,-0.104748127987
7.257,7.188,7.326,0.627244229209,0.0303530081235,0.0303530081235,0.085136123443,-0.085136123443
7.3965,7.326,7.467,0.473621335179,0.0273454537783,0.0273454537783,0.0680122709495,-0.0680122709495
7.5385,7.467,7.61,0.351889104169,0.0241290598113,0.0241290598113,0.0541401682506,-0.0541401682506
7.683,7.61,7.756,0.260795652156,0.0212969845772,0.0212969845772,0.0423349915642,-0.0423349915642
7.83,7.756,7.904,0.190018733676,0.0184643187768,0.0184643187768,0.032949893277,-0.032949893277
7.9795,7.904,8.055,0.137902255596,0.0159443784478,0.0159443784478,0.0251692617846,-0.0251692617846
8.131499999999999,8.055,8.208,0.098274836518,0.013533482776,0.013533482776,0.0191087060515,-0.0191087060515
8.286000000000001,8.208,8.364,0.0696341911579,0.0114412625778,0.0114412625778,0.0142975391742,-0.0142975391742

